"","address","price","area"
"193","和平東路二段175巷近捷運站優..",35000,17.7
"194","潮州街古亭綠意電梯2房",27000,25
"195","新生南路三段大安森林公園＊稀..",43000,28.6
"196","建國南路一段大安森林公園~時..",34000,18.5
"197","忠孝東路三段248巷忠孝復興MR..",48000,48.7
"198","信義路四段近信義安和捷運~電..",47000,33.2
"199","光復南路國父紀念館站~一房一..",30000,15
"200","忠孝東路三段248巷忠孝復興捷..",40000,42.7
"201","復興南路一段279巷優質住宅即..",50000,37
"202","復興南路一段107巷忠孝復興優..",60000,42.9
"203","新生南路三段坐擁大安森林優質..",43000,28
"204","復興南路一段219巷優質四大房..",75000,62
"205","仁愛路三段123巷SOGO捷運空總..",58000,49
"206","羅斯福路三段283巷《已出租》..",45000,41.6
"207","溫州街22巷《已出租》溫州靜巷..",22000,15
"208","復興南路一段雙捷運線中間住辦..",46000,36
"209","光復南路240巷全天管理國父紀..",30000,15
"210","瑞安街208巷簡約兩房優質24小..",34000,29
"211","師大路105巷優質住宅近捷運步..",30000,19
"212","信義路四段採光明亮優質管理雅..",78000,60
"213","建國南路一段優質管理住宅近大..",34000,18
"214","師大路117巷台電大樓捷..",28000,28
"215","光復南路國父紀念館逸仙香榭",100000,57.1
"216","仁愛路四段71巷仁愛圓環靜巷大..",65000,66
"217","金山南路二段101巷空間寬敞採..",40000,40
"218","信義路四段謙華高樓景觀名邸",105000,33
"219","敦化南路一段敦化高樓管理3房",70000,31
"220","安和路一段127巷安和捷運美華..",40000,31.1
"221","光復南路信義安和站稀有頂級純..",105000,60
"222","仁愛路四段忠孝復興站復興小學..",60000,67
"223","復興南路一段大安站旁頂級住宅..",110000,63
"224","信義路二段148巷東門靜巷近森..",100000,72
"225","杭州南路二段9巷大安區近中正..",85000,53.3
"226","仁愛路四段忠孝敦化捷運站~美..",36000,19.2
"227","信義路四段信義安和捷運/通化..",90000,53
"228","和平東路三段精美屋況●採光明..",89000,66
"229","瑞安街208巷~大安站~瑞安街..",31000,29.6
"230","忠孝東路三段248巷~捷運忠孝..",52000,48.7
"231","延吉街241巷信義安和站生活機..",20000,20
"232","復興南路一段忠孝復興站，SOGO..",33000,27.3
"233","瑞安街120巷京倫瑞安氣派豪邸",140000,86.6
"234","和平東路二段175巷可報稅商登..",60000,20.9
"235","文昌街278巷信義安和新整理電..",35000,40
"236","忠孝東路三段難得釋出~採光佳..",40000,42.7
"237","永康街永康靜巷日式典雅裝潢",48000,27.6
"238","復興南路一段精華地段,鳥語花..",60000,42.9
"239","光復南路富麗堂皇,指標豪宅高..",105000,61.2
"240","信義路三段低調奢華,夢寐以求..",63000,41.3
"241","信義路四段(日本語可)至高無..",78000,60
"242","復興南路一段135巷忠孝復興採..",29999,19.6
"243","仁愛路四段仁愛敦南圓環溫馨住..",60000,46.8
"244","仁愛路四段仁愛林蔭天廈樓中樓..",155000,101.2
"245","仁愛路四段408巷桓邦仁愛翠亨..",220000,107
"246","新生南路二段大安森林公園景觀..",200000,152
"247","瑞安街120巷4房BedRM大安森..",140000,86.6
"248","仁愛路三段帝寶我成交多戶此為..",350000,210.7
"249","光復南路小巢何雅婷~昇陽Gran..",100000,61.3
"250","建國南路一段270巷小巢何雅婷..",120000,70
"251","羅斯福路三段台電大樓/古亭雙..",78000,55.1
"252","瑞安街208巷~*大安站*瑞安街..",31000,29.6
"253","忠孝東路三段248巷*忠孝SOGO..",52000,48.7
"254","師大路105巷~*台電大樓捷運*..",30000,19.5
