"","address","price","area","floor","allfloor","livingroom","bathroom","bedroom"
"300","樂業街近六張犁站<U+263C>和平東路<U+263C>..",65000,56.5,4,13,2,2,3
"302","新生南路一段忠孝新生捷運站/..",52000,43,6,7,2,2,3
"303","仁愛路四段忠孝敦化捷運站/仁..",36000,19,4,14,2,1,2
"304","和平東路一段古亭捷運站/師大..",35000,31,5,19,2,2,3
"306","復興南路一段135巷【捷運忠孝..",30000,19.6,5,12,1,1,2
"307","信義路四段30巷美樂【公寓三樓..",25000,23.3,3,3,2,1,2
"308","忠孝東路四段216巷近忠孝敦化..",65000,38.8,4,7,2,2,3
"309","市民大道四段近忠孝敦化站交通..",32000,15.7,3,7,1,1,2
"311","大安路二段近大安捷運站明亮美..",26500,13,5,12,1,1,1
"312","仁愛路四段仁愛敦化商圈、生活..",60000,36.7,7,15,2,1,2
"313","信義路二段環境優近中正廣場、..",130000,84.7,10,14,3,2,4
"314","敦化南路一段1+1房地段優、生..",48000,32.5,5,10,2,1,2
"315","和平東路三段3+1舒適溫馨、生..",65000,51.8,10,14,2,2,4
"316","仁愛路四段環境單純、生活機能..",43000,22.2,2,9,1,1,1
"317","金山南路二段132巷永康商圈全..",58000,36,2,7,1,2,2
"318","忠孝東路四段近忠孝敦化捷運裝..",29000,16,14,14,1,1,2
"319","瑞安街208巷~近大安森林公園..",42000,51,3,7,2,2,3
"320","信義路四段265巷MRT信義安和..",60000,34.2,1,7,2,2,3
"321","光復南路美樂【高樓層遠挑101*..",105000,60,17,19,2,2,3
"322","建國南路一段近大安森林公園#..",34000,18.8,6,12,1,1,2
"323","安和路二段高樓層≠名邸豪宅≠..",160000,117.9,22,25,2,5,5
"324","安和路一段仁愛圓環/3+1房大坪..",80000,45.1,11,12,2,2,3
"326","大安路一段141巷近信義安和站..",42000,38,2,5,2,2,4
"327","和平東路二段118巷近台大後門..",36000,47,4,5,2,2,4
"329","敦化南路二段63巷安和路口<U+261B>一..",90000,60.8,7,9,2,2,2
"330","敦化南路一段177巷beautifulA..",120000,60.6,11,13,2,2,2
"331","光復南路MRT信義安和.全新落..",35000,22.6,8,14,1,1,2
"332","光復南路近信義計畫區.全新落..",88000,58.9,13,14,2,2,3
"334","光復南路240巷MRT國父紀念館..",30000,15.2,3,11,1,1,1
"335","大安路二段雅寓三樓.方正採光..",35000,32.9,3,4,2,1,3
"336","忠孝東路三段248巷(捷運忠孝..",47800,48.8,1,14,2,2,3
"337","信義路四段MRT大安.精華地段..",78000,60.6,12,17,2,3,4
"338","仁愛路四段N1587仁愛圓環景觀..",24000,12.6,10,14,0,1,1
"339","辛亥路二段面台大-近新生南路..",42000,43.5,4,25,2,2,3
"340","復興南路二段78巷大安捷運站大..",48000,50,1,7,2,2,3
"341","師大路105巷師大靜巷新電梯兩..",34000,19.5,6,10,1,1,2
"342","臥龍街43巷敦南遠企商圈高樓層..",52000,39,11,11,2,2,3
"343","忠孝東路三段248巷正義國宅高..",40000,43,11,12,2,2,3
"344","瑞安街208巷大安捷運站電梯2..",31000,29.6,4,11,2,1,2
"345","忠孝東路四段170巷敦南誠品靜..",107000,50,6,6,2,2,3
"346","復興南路一段近SOGO<U+263C>全新裝潢..",60000,42.9,4,7,2,2,3
"347","瑞安街208巷瑞安街華廈二房屋..",34000,29.6,4,7,2,2,2
"348","復興南路一段大安站美侖飯店客..",118000,56,13,14,2,2,3
"349","新生南路一段仁愛帝寶後方靜巷..",52000,43.1,6,7,2,2,3
"350","師大路熱鬧繁榮◆鬧中取靜◆管..",34000,44.4,6,10,1,1,2
"351","復興南路二段一卡公事包即可入..",20000,10.5,6,6,1,1,1
"352","仁愛路四段大安名人巷搶手地段..",60000,45.2,5,7,2,2,2
"353","安和路一段明星學區格局方正採..",59000,49.4,4,16,2,2,4
"354","信義路四段交通便利寬敞空間生..",47000,33.2,2,12,2,2,3
"355","信義路四段警衛管理◎生活機能..",78000,60.6,12,17,2,3,3
"356","仁愛路三段新裝潢格局方..",50000,26.9,2,6,2,2,2
"357","敦化南路一段交通便利浪漫優雅..",118700,60.6,11,13,2,1,2
"358","信義路二段東門捷運採光明亮方..",86000,86.5,5,7,2,2,3
"359","敦化南路二段新居落成▲採光通..",35000,31.1,5,7,1,1,1
"360","忠孝東路四段忠孝敦化，東區靜..",42500,39.9,3,7,2,2,3
